# This file contains data for the Dirac and Pauli proton electromagnetic form factors in the time-like region, based on the Unitary and Analytic (UA) model for dark vector production,
# as presented in "A Closer Look at Dark Vector Splitting Functions in Proton Bremsstrahlung" by S. Foroughi-Abari, P. Reimitz, and A. Ritz.
# Column descriptions:
# Column  1: The momentum transfer sqrt(t) [GeV]
# Columns 2: The value of the Dirac form factor
# Columns 3: The value of the Pauli form factor
#     sqrt(t)[GeV]    F1p                            F2p
      1.57000000      (2.40902306+4.49775221j)      (-2.76778853+-15.06463624j)
      1.57500000      (2.48945305+4.66229976j)      (-2.69737525+-15.86836526j)
      1.58000000      (2.56088709+4.85897245j)      (-2.58656654+-16.72796794j)
      1.58500000      (2.61870730+5.08921677j)      (-2.42684801+-17.64517471j)
      1.59000000      (2.65759990+5.35409044j)      (-2.20840646+-18.62070991j)
      1.59500000      (2.67150101+5.65409278j)      (-1.92008917+-19.65392836j)
      1.60000000      (2.65356597+5.98895161j)      (-1.54941843+-20.74237666j)
      1.60500000      (2.59617774+6.35736270j)      (-1.08269047+-21.88127446j)
      1.61000000      (2.49101506+6.75668114j)      (-0.50519697+-23.06291843j)
      1.61500000      (2.32920644+7.18257025j)      (0.19838346+-24.27602326j)
      1.62000000      (2.10160094+7.62862315j)      (1.04336872+-25.50503404j)
      1.62500000      (1.79918908+8.08598703j)      (2.04417432+-26.72947122j)
      1.63000000      (1.41370425+8.54303916j)      (3.21308265+-27.92340646j)
      1.63500000      (0.93842289+8.98518726j)      (4.55865746+-29.05520960j)
      1.64000000      (0.36915546+9.39488987j)      (6.08383278+-30.08774828j)
      1.64500000      (-0.29462293+9.75200850j)      (7.78378988+-30.97924641j)
      1.65000000      (-1.04861431+10.03459967j)      (9.64384997+-31.68499418j)
      1.65500000      (-1.88269329+10.22021853j)      (11.63773826+-32.16002458j)
      1.66000000      (-2.78029696+10.28772469j)      (13.72667771+-32.36271109j)
      1.66500000      (-3.71846945+10.21945669j)      (15.85979351+-32.25900228j)
      1.67000000      (-4.66876909+10.00349570j)      (17.97619302+-31.82673785j)
      1.67500000      (-5.59910463+9.63561927j)      (20.00880344+-31.05927783j)
      1.68000000      (-6.47635397+9.12051082j)      (21.88963952+-29.96763142j)
      1.68500000      (-7.26939324+8.47188427j)      (23.55575376+-28.58047318j)
      1.69000000      (-7.95201148+7.71140259j)      (24.95485329+-26.94186527j)
      1.69500000      (-8.50517820+6.86655107j)      (26.04957972+-25.10703963j)
      1.70000000      (-8.91828216+5.96787029j)      (26.81975859+-23.13704157j)
      1.70500000      (-9.18921569+5.04607270j)      (27.26242119+-21.09323564j)
      1.71000000      (-9.32344325+4.12952802j)      (27.38989935+-19.03257647j)
