# This file contains data for the Dirac and Pauli proton electromagnetic form factors in the time-like region, based on the Unitary and Analytic (UA) model for dark vector production,
# as presented in "A Closer Look at Dark Vector Splitting Functions in Proton Bremsstrahlung" by S. Foroughi-Abari, P. Reimitz, and A. Ritz.
# Column descriptions:
# Column  1    : The momentum transfer sqrt(t) [GeV]
# Columns 2 & 3: Uncertainty band (minimum and maximum) of the Dirac form factor
# Columns 4 & 5: Uncertainty band (minimum and maximum) of the Pauli form factor
#     sqrt(t)[GeV]    F1Pmin                         F1Pmax                        F2Pmin                        F2Pmax 
      1.01000000      (-160.05160151+-35.01845237j)      (-163.23893991+-35.89890226j)      (-62.63016497+-13.45949394j)      (-83.29615859+-18.54277492j)
      1.02000000      (181.78944543+-695.14646954j)      (175.25740492+-708.17552623j)      (57.08511161+-246.86015801j)      (78.10392486+-342.99337440j)
      1.03000000      (142.24052010+-27.83717413j)      (145.19891073+-28.35922199j)      (43.67348587+-12.02327289j)      (66.02938872+-15.69141918j)
      1.04000000      (74.56012244+-6.93934788j)      (76.53552387+-7.08148884j)      (19.97956378+-4.76272040j)      (33.25132022+-5.41901615j)
      1.05000000      (50.15211603+-2.75115905j)      (51.85042806+-2.82826810j)      (11.51786414+-3.44232476j)      (21.58737499+-3.45068957j)
      1.06000000      (37.73431751+-1.27144483j)      (39.33071989+-1.32635209j)      (7.27501596+-3.09017384j)      (15.77120573+-2.83610190j)
      1.07000000      (30.26799379+-0.59607781j)      (31.83238866+-0.64049095j)      (4.77220372+-3.02817612j)      (12.37212621+-2.62641136j)
      1.08000000      (25.31465794+-0.24030755j)      (26.88283826+-0.27861829j)      (3.35539950+-2.80155648j)      (10.20311927+-2.57944142j)
      1.09000000      (21.80916283+-0.03570881j)      (23.40258248+-0.06987123j)      (2.43455725+-2.64632914j)      (8.74659181+-2.61117734j)
      1.10000000      (19.21298385+0.08850326j)      (20.84594873+0.05754315j)      (1.63425064+-2.76219879j)      (7.74154281+-2.68662777j)
      1.11000000      (17.22481751+0.16618327j)      (18.90755277+0.13796649j)      (1.04623731+-2.89905921j)      (7.04249903+-2.78941569j)
      1.12000000      (15.66302091+0.21510746j)      (17.40309425+0.18944232j)      (0.91570519+-2.94649361j)      (6.56220503+-2.91129932j)
      1.13000000      (14.41161006+0.24528573j)      (16.21459033+0.22214520j)      (0.88727249+-2.99551116j)      (5.90201782+-3.69512996j)
      1.14000000      (13.39304871+0.26266300j)      (15.26275297+0.24213337j)      (0.67287911+-3.14802233j)      (5.72218384+-3.88297101j)
      1.15000000      (12.55350414+0.27091545j)      (14.50560492+0.25453694j)      (0.50667200+-3.31478126j)      (5.64541316+-4.08496951j)
      1.16000000      (11.85437255+0.27238417j)      (13.88823817+0.25881393j)      (0.39329528+-3.49167480j)      (5.65361475+-4.30093294j)
      1.17000000      (11.26715991+0.26858851j)      (13.37984512+0.25817969j)      (0.32367095+-3.67909752j)      (5.73317471+-4.53110397j)
      1.18000000      (10.76868093+0.26017511j)      (12.95602257+0.25368107j)      (0.29117918+-3.87766573j)      (5.87320692+-4.77600665j)
      1.19000000      (10.34144201+0.24853707j)      (12.59629315+0.24601916j)      (0.29090770+-4.08815809j)      (6.06429411+-5.03634999j)
